pretty_link,country,id
"<div><a href=""/places/default/view/Colombia-50""><img src=""/places/static/images/flags/co.png"" /> Colombia</a></div>",Colombia,612410
"<div><a href=""/places/default/view/Comoros-51""><img src=""/places/static/images/flags/km.png"" /> Comoros</a></div>",Comoros,612411
"<div><a href=""/places/default/view/Cook-Islands-52""><img src=""/places/static/images/flags/ck.png"" /> Cook Islands</a></div>",Cook Islands,612412
"<div><a href=""/places/default/view/Costa-Rica-53""><img src=""/places/static/images/flags/cr.png"" /> Costa Rica</a></div>",Costa Rica,612413
"<div><a href=""/places/default/view/Croatia-54""><img src=""/places/static/images/flags/hr.png"" /> Croatia</a></div>",Croatia,612414
"<div><a href=""/places/default/view/Cuba-55""><img src=""/places/static/images/flags/cu.png"" /> Cuba</a></div>",Cuba,612415
"<div><a href=""/places/default/view/Curacao-56""><img src=""/places/static/images/flags/cw.png"" /> Curacao</a></div>",Curacao,612416
"<div><a href=""/places/default/view/Cyprus-57""><img src=""/places/static/images/flags/cy.png"" /> Cyprus</a></div>",Cyprus,612417
"<div><a href=""/places/default/view/Czech-Republic-58""><img src=""/places/static/images/flags/cz.png"" /> Czech Republic</a></div>",Czech Republic,612418
"<div><a href=""/places/default/view/Democratic-Republic-of-the-Congo-59""><img src=""/places/static/images/flags/cd.png"" /> Democratic Republic of the Congo</a></div>",Democratic Republic of the Congo,612419
"<div><a href=""/places/default/view/Denmark-60""><img src=""/places/static/images/flags/dk.png"" /> Denmark</a></div>",Denmark,612420
"<div><a href=""/places/default/view/Djibouti-61""><img src=""/places/static/images/flags/dj.png"" /> Djibouti</a></div>",Djibouti,612421
"<div><a href=""/places/default/view/Dominica-62""><img src=""/places/static/images/flags/dm.png"" /> Dominica</a></div>",Dominica,612422
"<div><a href=""/places/default/view/Dominican-Republic-63""><img src=""/places/static/images/flags/do.png"" /> Dominican Republic</a></div>",Dominican Republic,612423
"<div><a href=""/places/default/view/East-Timor-64""><img src=""/places/static/images/flags/tl.png"" /> East Timor</a></div>",East Timor,612424
"<div><a href=""/places/default/view/Ecuador-65""><img src=""/places/static/images/flags/ec.png"" /> Ecuador</a></div>",Ecuador,612425
"<div><a href=""/places/default/view/Egypt-66""><img src=""/places/static/images/flags/eg.png"" /> Egypt</a></div>",Egypt,612426
"<div><a href=""/places/default/view/El-Salvador-67""><img src=""/places/static/images/flags/sv.png"" /> El Salvador</a></div>",El Salvador,612427
"<div><a href=""/places/default/view/Equatorial-Guinea-68""><img src=""/places/static/images/flags/gq.png"" /> Equatorial Guinea</a></div>",Equatorial Guinea,612428
"<div><a href=""/places/default/view/Eritrea-69""><img src=""/places/static/images/flags/er.png"" /> Eritrea</a></div>",Eritrea,612429
"<div><a href=""/places/default/view/Estonia-70""><img src=""/places/static/images/flags/ee.png"" /> Estonia</a></div>",Estonia,612430
"<div><a href=""/places/default/view/Ethiopia-71""><img src=""/places/static/images/flags/et.png"" /> Ethiopia</a></div>",Ethiopia,612431
"<div><a href=""/places/default/view/Falkland-Islands-72""><img src=""/places/static/images/flags/fk.png"" /> Falkland Islands</a></div>",Falkland Islands,612432
"<div><a href=""/places/default/view/Faroe-Islands-73""><img src=""/places/static/images/flags/fo.png"" /> Faroe Islands</a></div>",Faroe Islands,612433
"<div><a href=""/places/default/view/Fiji-74""><img src=""/places/static/images/flags/fj.png"" /> Fiji</a></div>",Fiji,612434
"<div><a href=""/places/default/view/Finland-75""><img src=""/places/static/images/flags/fi.png"" /> Finland</a></div>",Finland,612435
"<div><a href=""/places/default/view/France-76""><img src=""/places/static/images/flags/fr.png"" /> France</a></div>",France,612436
"<div><a href=""/places/default/view/French-Guiana-77""><img src=""/places/static/images/flags/gf.png"" /> French Guiana</a></div>",French Guiana,612437
"<div><a href=""/places/default/view/French-Polynesia-78""><img src=""/places/static/images/flags/pf.png"" /> French Polynesia</a></div>",French Polynesia,612438
"<div><a href=""/places/default/view/French-Southern-Territories-79""><img src=""/places/static/images/flags/tf.png"" /> French Southern Territories</a></div>",French Southern Territories,612439
"<div><a href=""/places/default/view/Gabon-80""><img src=""/places/static/images/flags/ga.png"" /> Gabon</a></div>",Gabon,612440
"<div><a href=""/places/default/view/Gambia-81""><img src=""/places/static/images/flags/gm.png"" /> Gambia</a></div>",Gambia,612441
"<div><a href=""/places/default/view/Georgia-82""><img src=""/places/static/images/flags/ge.png"" /> Georgia</a></div>",Georgia,612442
"<div><a href=""/places/default/view/Germany-83""><img src=""/places/static/images/flags/de.png"" /> Germany</a></div>",Germany,612443
"<div><a href=""/places/default/view/Ghana-84""><img src=""/places/static/images/flags/gh.png"" /> Ghana</a></div>",Ghana,612444
"<div><a href=""/places/default/view/Gibraltar-85""><img src=""/places/static/images/flags/gi.png"" /> Gibraltar</a></div>",Gibraltar,612445
"<div><a href=""/places/default/view/Greece-86""><img src=""/places/static/images/flags/gr.png"" /> Greece</a></div>",Greece,612446
"<div><a href=""/places/default/view/Greenland-87""><img src=""/places/static/images/flags/gl.png"" /> Greenland</a></div>",Greenland,612447
"<div><a href=""/places/default/view/Grenada-88""><img src=""/places/static/images/flags/gd.png"" /> Grenada</a></div>",Grenada,612448
"<div><a href=""/places/default/view/Guadeloupe-89""><img src=""/places/static/images/flags/gp.png"" /> Guadeloupe</a></div>",Guadeloupe,612449
"<div><a href=""/places/default/view/Guam-90""><img src=""/places/static/images/flags/gu.png"" /> Guam</a></div>",Guam,612450
"<div><a href=""/places/default/view/Guatemala-91""><img src=""/places/static/images/flags/gt.png"" /> Guatemala</a></div>",Guatemala,612451
"<div><a href=""/places/default/view/Guernsey-92""><img src=""/places/static/images/flags/gg.png"" /> Guernsey</a></div>",Guernsey,612452
"<div><a href=""/places/default/view/Guinea-93""><img src=""/places/static/images/flags/gn.png"" /> Guinea</a></div>",Guinea,612453
"<div><a href=""/places/default/view/Guinea-Bissau-94""><img src=""/places/static/images/flags/gw.png"" /> Guinea-Bissau</a></div>",Guinea-Bissau,612454
"<div><a href=""/places/default/view/Guyana-95""><img src=""/places/static/images/flags/gy.png"" /> Guyana</a></div>",Guyana,612455
"<div><a href=""/places/default/view/Haiti-96""><img src=""/places/static/images/flags/ht.png"" /> Haiti</a></div>",Haiti,612456
"<div><a href=""/places/default/view/Heard-Island-and-McDonald-Islands-97""><img src=""/places/static/images/flags/hm.png"" /> Heard Island and McDonald Islands</a></div>",Heard Island and McDonald Islands,612457
"<div><a href=""/places/default/view/Honduras-98""><img src=""/places/static/images/flags/hn.png"" /> Honduras</a></div>",Honduras,612458
"<div><a href=""/places/default/view/Hong-Kong-99""><img src=""/places/static/images/flags/hk.png"" /> Hong Kong</a></div>",Hong Kong,612459
"<div><a href=""/places/default/view/Hungary-100""><img src=""/places/static/images/flags/hu.png"" /> Hungary</a></div>",Hungary,612460
"<div><a href=""/places/default/view/Iceland-101""><img src=""/places/static/images/flags/is.png"" /> Iceland</a></div>",Iceland,612461
"<div><a href=""/places/default/view/India-102""><img src=""/places/static/images/flags/in.png"" /> India</a></div>",India,612462
"<div><a href=""/places/default/view/Indonesia-103""><img src=""/places/static/images/flags/id.png"" /> Indonesia</a></div>",Indonesia,612463
"<div><a href=""/places/default/view/Iran-104""><img src=""/places/static/images/flags/ir.png"" /> Iran</a></div>",Iran,612464
"<div><a href=""/places/default/view/Iraq-105""><img src=""/places/static/images/flags/iq.png"" /> Iraq</a></div>",Iraq,612465
"<div><a href=""/places/default/view/Ireland-106""><img src=""/places/static/images/flags/ie.png"" /> Ireland</a></div>",Ireland,612466
"<div><a href=""/places/default/view/Isle-of-Man-107""><img src=""/places/static/images/flags/im.png"" /> Isle of Man</a></div>",Isle of Man,612467
"<div><a href=""/places/default/view/Israel-108""><img src=""/places/static/images/flags/il.png"" /> Israel</a></div>",Israel,612468
"<div><a href=""/places/default/view/Italy-109""><img src=""/places/static/images/flags/it.png"" /> Italy</a></div>",Italy,612469
"<div><a href=""/places/default/view/Ivory-Coast-110""><img src=""/places/static/images/flags/ci.png"" /> Ivory Coast</a></div>",Ivory Coast,612470
"<div><a href=""/places/default/view/Jamaica-111""><img src=""/places/static/images/flags/jm.png"" /> Jamaica</a></div>",Jamaica,612471
"<div><a href=""/places/default/view/Japan-112""><img src=""/places/static/images/flags/jp.png"" /> Japan</a></div>",Japan,612472
"<div><a href=""/places/default/view/Jersey-113""><img src=""/places/static/images/flags/je.png"" /> Jersey</a></div>",Jersey,612473
"<div><a href=""/places/default/view/Jordan-114""><img src=""/places/static/images/flags/jo.png"" /> Jordan</a></div>",Jordan,612474
"<div><a href=""/places/default/view/Kazakhstan-115""><img src=""/places/static/images/flags/kz.png"" /> Kazakhstan</a></div>",Kazakhstan,612475
"<div><a href=""/places/default/view/Kenya-116""><img src=""/places/static/images/flags/ke.png"" /> Kenya</a></div>",Kenya,612476
"<div><a href=""/places/default/view/Kiribati-117""><img src=""/places/static/images/flags/ki.png"" /> Kiribati</a></div>",Kiribati,612477
"<div><a href=""/places/default/view/Kosovo-118""><img src=""/places/static/images/flags/xk.png"" /> Kosovo</a></div>",Kosovo,612478
"<div><a href=""/places/default/view/Kuwait-119""><img src=""/places/static/images/flags/kw.png"" /> Kuwait</a></div>",Kuwait,612479
"<div><a href=""/places/default/view/Kyrgyzstan-120""><img src=""/places/static/images/flags/kg.png"" /> Kyrgyzstan</a></div>",Kyrgyzstan,612480
"<div><a href=""/places/default/view/Laos-121""><img src=""/places/static/images/flags/la.png"" /> Laos</a></div>",Laos,612481
"<div><a href=""/places/default/view/Latvia-122""><img src=""/places/static/images/flags/lv.png"" /> Latvia</a></div>",Latvia,612482
"<div><a href=""/places/default/view/Lebanon-123""><img src=""/places/static/images/flags/lb.png"" /> Lebanon</a></div>",Lebanon,612483
"<div><a href=""/places/default/view/Lesotho-124""><img src=""/places/static/images/flags/ls.png"" /> Lesotho</a></div>",Lesotho,612484
"<div><a href=""/places/default/view/Liberia-125""><img src=""/places/static/images/flags/lr.png"" /> Liberia</a></div>",Liberia,612485
"<div><a href=""/places/default/view/Libya-126""><img src=""/places/static/images/flags/ly.png"" /> Libya</a></div>",Libya,612486
"<div><a href=""/places/default/view/Liechtenstein-127""><img src=""/places/static/images/flags/li.png"" /> Liechtenstein</a></div>",Liechtenstein,612487
"<div><a href=""/places/default/view/Lithuania-128""><img src=""/places/static/images/flags/lt.png"" /> Lithuania</a></div>",Lithuania,612488
"<div><a href=""/places/default/view/Luxembourg-129""><img src=""/places/static/images/flags/lu.png"" /> Luxembourg</a></div>",Luxembourg,612489
"<div><a href=""/places/default/view/Macao-130""><img src=""/places/static/images/flags/mo.png"" /> Macao</a></div>",Macao,612490
"<div><a href=""/places/default/view/Macedonia-131""><img src=""/places/static/images/flags/mk.png"" /> Macedonia</a></div>",Macedonia,612491
"<div><a href=""/places/default/view/Madagascar-132""><img src=""/places/static/images/flags/mg.png"" /> Madagascar</a></div>",Madagascar,612492
"<div><a href=""/places/default/view/Malawi-133""><img src=""/places/static/images/flags/mw.png"" /> Malawi</a></div>",Malawi,612493
"<div><a href=""/places/default/view/Malaysia-134""><img src=""/places/static/images/flags/my.png"" /> Malaysia</a></div>",Malaysia,612494
"<div><a href=""/places/default/view/Maldives-135""><img src=""/places/static/images/flags/mv.png"" /> Maldives</a></div>",Maldives,612495
"<div><a href=""/places/default/view/Mali-136""><img src=""/places/static/images/flags/ml.png"" /> Mali</a></div>",Mali,612496
"<div><a href=""/places/default/view/Malta-137""><img src=""/places/static/images/flags/mt.png"" /> Malta</a></div>",Malta,612497
"<div><a href=""/places/default/view/Marshall-Islands-138""><img src=""/places/static/images/flags/mh.png"" /> Marshall Islands</a></div>",Marshall Islands,612498
"<div><a href=""/places/default/view/Martinique-139""><img src=""/places/static/images/flags/mq.png"" /> Martinique</a></div>",Martinique,612499
"<div><a href=""/places/default/view/Mauritania-140""><img src=""/places/static/images/flags/mr.png"" /> Mauritania</a></div>",Mauritania,612500
"<div><a href=""/places/default/view/Mauritius-141""><img src=""/places/static/images/flags/mu.png"" /> Mauritius</a></div>",Mauritius,612501
"<div><a href=""/places/default/view/Mayotte-142""><img src=""/places/static/images/flags/yt.png"" /> Mayotte</a></div>",Mayotte,612502
"<div><a href=""/places/default/view/Mexico-143""><img src=""/places/static/images/flags/mx.png"" /> Mexico</a></div>",Mexico,612503
"<div><a href=""/places/default/view/Micronesia-144""><img src=""/places/static/images/flags/fm.png"" /> Micronesia</a></div>",Micronesia,612504
"<div><a href=""/places/default/view/Moldova-145""><img src=""/places/static/images/flags/md.png"" /> Moldova</a></div>",Moldova,612505
"<div><a href=""/places/default/view/Monaco-146""><img src=""/places/static/images/flags/mc.png"" /> Monaco</a></div>",Monaco,612506
"<div><a href=""/places/default/view/Mongolia-147""><img src=""/places/static/images/flags/mn.png"" /> Mongolia</a></div>",Mongolia,612507
"<div><a href=""/places/default/view/Montenegro-148""><img src=""/places/static/images/flags/me.png"" /> Montenegro</a></div>",Montenegro,612508
"<div><a href=""/places/default/view/Montserrat-149""><img src=""/places/static/images/flags/ms.png"" /> Montserrat</a></div>",Montserrat,612509
"<div><a href=""/places/default/view/Morocco-150""><img src=""/places/static/images/flags/ma.png"" /> Morocco</a></div>",Morocco,612510
"<div><a href=""/places/default/view/Mozambique-151""><img src=""/places/static/images/flags/mz.png"" /> Mozambique</a></div>",Mozambique,612511
"<div><a href=""/places/default/view/Myanmar-152""><img src=""/places/static/images/flags/mm.png"" /> Myanmar</a></div>",Myanmar,612512
"<div><a href=""/places/default/view/Namibia-153""><img src=""/places/static/images/flags/na.png"" /> Namibia</a></div>",Namibia,612513
"<div><a href=""/places/default/view/Nauru-154""><img src=""/places/static/images/flags/nr.png"" /> Nauru</a></div>",Nauru,612514
"<div><a href=""/places/default/view/Nepal-155""><img src=""/places/static/images/flags/np.png"" /> Nepal</a></div>",Nepal,612515
"<div><a href=""/places/default/view/Netherlands-156""><img src=""/places/static/images/flags/nl.png"" /> Netherlands</a></div>",Netherlands,612516
"<div><a href=""/places/default/view/Netherlands-Antilles-157""><img src=""/places/static/images/flags/an.png"" /> Netherlands Antilles</a></div>",Netherlands Antilles,612517
"<div><a href=""/places/default/view/New-Caledonia-158""><img src=""/places/static/images/flags/nc.png"" /> New Caledonia</a></div>",New Caledonia,612518
"<div><a href=""/places/default/view/New-Zealand-159""><img src=""/places/static/images/flags/nz.png"" /> New Zealand</a></div>",New Zealand,612519
"<div><a href=""/places/default/view/Nicaragua-160""><img src=""/places/static/images/flags/ni.png"" /> Nicaragua</a></div>",Nicaragua,612520
"<div><a href=""/places/default/view/Niger-161""><img src=""/places/static/images/flags/ne.png"" /> Niger</a></div>",Niger,612521
"<div><a href=""/places/default/view/Nigeria-162""><img src=""/places/static/images/flags/ng.png"" /> Nigeria</a></div>",Nigeria,612522
"<div><a href=""/places/default/view/Niue-163""><img src=""/places/static/images/flags/nu.png"" /> Niue</a></div>",Niue,612523
"<div><a href=""/places/default/view/Norfolk-Island-164""><img src=""/places/static/images/flags/nf.png"" /> Norfolk Island</a></div>",Norfolk Island,612524
"<div><a href=""/places/default/view/North-Korea-165""><img src=""/places/static/images/flags/kp.png"" /> North Korea</a></div>",North Korea,612525
"<div><a href=""/places/default/view/Northern-Mariana-Islands-166""><img src=""/places/static/images/flags/mp.png"" /> Northern Mariana Islands</a></div>",Northern Mariana Islands,612526
"<div><a href=""/places/default/view/Norway-167""><img src=""/places/static/images/flags/no.png"" /> Norway</a></div>",Norway,612527
"<div><a href=""/places/default/view/Oman-168""><img src=""/places/static/images/flags/om.png"" /> Oman</a></div>",Oman,612528
"<div><a href=""/places/default/view/Pakistan-169""><img src=""/places/static/images/flags/pk.png"" /> Pakistan</a></div>",Pakistan,612529
"<div><a href=""/places/default/view/Palau-170""><img src=""/places/static/images/flags/pw.png"" /> Palau</a></div>",Palau,612530
"<div><a href=""/places/default/view/Palestinian-Territory-171""><img src=""/places/static/images/flags/ps.png"" /> Palestinian Territory</a></div>",Palestinian Territory,612531
"<div><a href=""/places/default/view/Panama-172""><img src=""/places/static/images/flags/pa.png"" /> Panama</a></div>",Panama,612532
"<div><a href=""/places/default/view/Papua-New-Guinea-173""><img src=""/places/static/images/flags/pg.png"" /> Papua New Guinea</a></div>",Papua New Guinea,612533
"<div><a href=""/places/default/view/Paraguay-174""><img src=""/places/static/images/flags/py.png"" /> Paraguay</a></div>",Paraguay,612534
"<div><a href=""/places/default/view/Peru-175""><img src=""/places/static/images/flags/pe.png"" /> Peru</a></div>",Peru,612535
"<div><a href=""/places/default/view/Philippines-176""><img src=""/places/static/images/flags/ph.png"" /> Philippines</a></div>",Philippines,612536
"<div><a href=""/places/default/view/Pitcairn-177""><img src=""/places/static/images/flags/pn.png"" /> Pitcairn</a></div>",Pitcairn,612537
"<div><a href=""/places/default/view/Poland-178""><img src=""/places/static/images/flags/pl.png"" /> Poland</a></div>",Poland,612538
"<div><a href=""/places/default/view/Portugal-179""><img src=""/places/static/images/flags/pt.png"" /> Portugal</a></div>",Portugal,612539
"<div><a href=""/places/default/view/Puerto-Rico-180""><img src=""/places/static/images/flags/pr.png"" /> Puerto Rico</a></div>",Puerto Rico,612540
"<div><a href=""/places/default/view/Qatar-181""><img src=""/places/static/images/flags/qa.png"" /> Qatar</a></div>",Qatar,612541
"<div><a href=""/places/default/view/Republic-of-the-Congo-182""><img src=""/places/static/images/flags/cg.png"" /> Republic of the Congo</a></div>",Republic of the Congo,612542
"<div><a href=""/places/default/view/Reunion-183""><img src=""/places/static/images/flags/re.png"" /> Reunion</a></div>",Reunion,612543
"<div><a href=""/places/default/view/Romania-184""><img src=""/places/static/images/flags/ro.png"" /> Romania</a></div>",Romania,612544
"<div><a href=""/places/default/view/Russia-185""><img src=""/places/static/images/flags/ru.png"" /> Russia</a></div>",Russia,612545
"<div><a href=""/places/default/view/Rwanda-186""><img src=""/places/static/images/flags/rw.png"" /> Rwanda</a></div>",Rwanda,612546
"<div><a href=""/places/default/view/Saint-Barthelemy-187""><img src=""/places/static/images/flags/bl.png"" /> Saint Barthelemy</a></div>",Saint Barthelemy,612547
"<div><a href=""/places/default/view/Saint-Helena-188""><img src=""/places/static/images/flags/sh.png"" /> Saint Helena</a></div>",Saint Helena,612548
"<div><a href=""/places/default/view/Saint-Kitts-and-Nevis-189""><img src=""/places/static/images/flags/kn.png"" /> Saint Kitts and Nevis</a></div>",Saint Kitts and Nevis,612549
"<div><a href=""/places/default/view/Saint-Lucia-190""><img src=""/places/static/images/flags/lc.png"" /> Saint Lucia</a></div>",Saint Lucia,612550
"<div><a href=""/places/default/view/Saint-Martin-191""><img src=""/places/static/images/flags/mf.png"" /> Saint Martin</a></div>",Saint Martin,612551
"<div><a href=""/places/default/view/Saint-Pierre-and-Miquelon-192""><img src=""/places/static/images/flags/pm.png"" /> Saint Pierre and Miquelon</a></div>",Saint Pierre and Miquelon,612552
"<div><a href=""/places/default/view/Saint-Vincent-and-the-Grenadines-193""><img src=""/places/static/images/flags/vc.png"" /> Saint Vincent and the Grenadines</a></div>",Saint Vincent and the Grenadines,612553
"<div><a href=""/places/default/view/Samoa-194""><img src=""/places/static/images/flags/ws.png"" /> Samoa</a></div>",Samoa,612554
"<div><a href=""/places/default/view/San-Marino-195""><img src=""/places/static/images/flags/sm.png"" /> San Marino</a></div>",San Marino,612555
"<div><a href=""/places/default/view/Sao-Tome-and-Principe-196""><img src=""/places/static/images/flags/st.png"" /> Sao Tome and Principe</a></div>",Sao Tome and Principe,612556
"<div><a href=""/places/default/view/Saudi-Arabia-197""><img src=""/places/static/images/flags/sa.png"" /> Saudi Arabia</a></div>",Saudi Arabia,612557
"<div><a href=""/places/default/view/Senegal-198""><img src=""/places/static/images/flags/sn.png"" /> Senegal</a></div>",Senegal,612558
"<div><a href=""/places/default/view/Serbia-199""><img src=""/places/static/images/flags/rs.png"" /> Serbia</a></div>",Serbia,612559
"<div><a href=""/places/default/view/Serbia-and-Montenegro-200""><img src=""/places/static/images/flags/cs.png"" /> Serbia and Montenegro</a></div>",Serbia and Montenegro,612560
"<div><a href=""/places/default/view/Seychelles-201""><img src=""/places/static/images/flags/sc.png"" /> Seychelles</a></div>",Seychelles,612561
"<div><a href=""/places/default/view/Sierra-Leone-202""><img src=""/places/static/images/flags/sl.png"" /> Sierra Leone</a></div>",Sierra Leone,612562
"<div><a href=""/places/default/view/Singapore-203""><img src=""/places/static/images/flags/sg.png"" /> Singapore</a></div>",Singapore,612563
"<div><a href=""/places/default/view/Sint-Maarten-204""><img src=""/places/static/images/flags/sx.png"" /> Sint Maarten</a></div>",Sint Maarten,612564
"<div><a href=""/places/default/view/Slovakia-205""><img src=""/places/static/images/flags/sk.png"" /> Slovakia</a></div>",Slovakia,612565
"<div><a href=""/places/default/view/Slovenia-206""><img src=""/places/static/images/flags/si.png"" /> Slovenia</a></div>",Slovenia,612566
"<div><a href=""/places/default/view/Solomon-Islands-207""><img src=""/places/static/images/flags/sb.png"" /> Solomon Islands</a></div>",Solomon Islands,612567
"<div><a href=""/places/default/view/Somalia-208""><img src=""/places/static/images/flags/so.png"" /> Somalia</a></div>",Somalia,612568
"<div><a href=""/places/default/view/South-Africa-209""><img src=""/places/static/images/flags/za.png"" /> South Africa</a></div>",South Africa,612569
